,Plot_ID,lon,lat,climID
2399,861513106,17.98080526,64.4986856,12705
2400,861513306,17.96190941,64.49388519,12705
2401,861519106,16.74045067,65.04846411,13491
2402,861519306,16.73125715,65.04531274,13491
2403,861521306,16.46307408,65.31320146,13887
2404,861525106,18.70634755,65.15441227,13644
2405,861525306,18.70024351,65.15184072,13644
2406,861534106,17.76550345,65.44905485,14033
2407,861534306,17.78183111,65.43552919,14033
2408,861536106,17.45873312,65.7121309,14429
2409,861536306,17.45976978,65.70973518,14429
2410,861540106,19.79224214,65.53602184,14186
2411,861550106,19.56386691,65.81142327,14583
2412,861550306,19.53475756,65.80705744,14583
2413,861552106,19.31258019,66.09397191,14847
2414,861552306,19.32322475,66.08010989,14847
2415,861559106,19.00439006,66.36419191,15243
2416,861559306,19.02758652,66.35305223,15243
2417,861561306,18.7644109,66.62454474,15639
2418,861565106,21.10538353,66.43870135,15397
2419,861565306,21.09209571,66.42669506,15396
2420,861573306,18.52844491,66.89934743,15903
2421,861575106,20.14975481,66.74870092,15786
2422,861575306,20.13022596,66.72995324,15786
2423,861578106,20.89958309,66.72351741,15793
2424,861578306,20.88903339,66.70503281,15793
2425,861580106,20.66379207,66.99432937,16057
2426,861580306,20.64071263,66.99203765,16057
2427,861592106,21.84757494,67.35891364,16601
2428,861592306,21.82574345,67.35041466,16601
2429,861600106,20.49312462,67.94294027,17385
2430,861600306,20.4945105,67.93879022,17385
2431,861603106,21.31311461,67.91408136,17394
2432,861615106,22.78602244,67.99482824,17408
2433,861615306,22.76066777,67.99110187,17408
2434,862501106,12.68078125,61.65357144,8928
2435,862503106,12.63147616,62.05116139,9460
2436,862503306,12.63389554,62.03801005,9460
2437,862505306,13.14611354,61.73860866,9066
2438,862507106,13.59734989,61.85742512,9203
2439,862507306,13.61082693,61.83640019,9204
2440,862509106,14.06690491,61.98800163,9341
2441,862509306,14.077419,61.97545032,9341
2442,862511106,14.78030296,62.13809824,9614
2443,862511306,14.77955693,62.12727146,9614
2444,862512106,12.84278577,62.19182882,9595
2445,862517306,13.33096509,62.28774053,9733
2446,862523106,14.53127623,62.57919315,10144
2447,862523306,14.52581779,62.56630316,10144
2448,862525106,15.02051167,62.26507046,9750
2449,862525306,15.00296569,62.26181357,9750
2450,862527106,15.48745119,62.36051495,9887
2451,862527306,15.48970892,62.35559699,9887
2452,862532306,16.70995155,62.61383687,10299
2453,862533106,16.93257836,62.27406106,9769
2454,862533306,16.92823299,62.2549331,9769
2455,862543106,13.77503238,62.80333854,10535
2456,862543306,13.77870366,62.78620693,10402
2457,862545106,14.515624,62.98535542,10676
2458,862545306,14.50658669,62.97129545,10676
2459,862547106,14.99410307,62.6760006,10281
2460,862549106,15.49947337,62.76565992,10419
2461,862553106,16.70593974,63.03068163,10831
2462,862553306,16.71623945,63.02564634,10831
2463,862555106,17.20878149,62.71356057,10437
2464,862555306,17.20072843,62.70706019,10437
2465,862557106,17.6889658,62.79239877,10441
2466,862564106,12.99760237,63.13895531,10926
2467,862564306,12.99821031,63.1361806,10926
2468,862566106,13.49046309,63.2485032,11064
2469,862570106,14.49047048,63.47446943,11340
2470,862570306,14.49209408,63.46213471,11340
2471,862573106,15.23352775,63.20927738,11082
2472,862573306,15.22012915,63.20193023,11082
2473,862575106,15.71762937,63.30535532,11220
2474,862575306,15.73764318,63.29216711,11087
2475,862579306,16.47247533,63.47396169,11360
2476,862581106,16.98182882,63.16002879,10966
2477,862583106,17.47729102,63.252508,11104
2478,862583306,17.47249015,63.24274052,11104
2479,862586106,17.99649194,63.38034996,11242
2480,862586306,17.97624923,63.3629262,11242
2481,862587106,18.48656413,63.45461505,11380
2482,862587306,18.49449629,63.44492447,11380
2483,862590306,12.9539974,63.53839611,11458
2484,862595106,14.44796114,63.87989556,11872
2485,862597106,14.98186001,63.56606338,11478
2486,862597306,14.98782123,63.56184596,11478
2487,862599106,15.48255425,63.66948549,11616
2488,862599306,15.49015763,63.65107972,11616
2489,862601106,15.99803079,63.79882313,11754
2490,862601306,15.98418882,63.79250991,11754
2491,862603106,16.7545342,63.92688361,12028
2492,862603306,16.7372879,63.91419196,12028
2493,862604106,16.97893807,63.56798562,11498
2494,862604306,16.98672838,63.56242843,11498
2495,862606106,17.50414447,63.65709237,11637
2496,862606306,17.50327415,63.64676296,11637
2497,862608106,18.0153883,63.77560301,11775
2498,862608306,18.00784853,63.76370682,11775
2499,862609106,18.54377281,63.85876753,11913
2500,862609306,18.51627775,63.85468643,11913
2501,862611106,19.01655159,63.53454348,11519
2502,862611306,19.00064436,63.53227448,11519
2503,862613106,19.51134847,63.61003183,11657
2504,862613306,19.5050566,63.59965579,11524
2505,862616106,20.57110992,63.81222939,11933
2506,862616306,20.55323168,63.79491954,11800
2507,862617106,12.90395032,64.0440025,12123
2508,862620106,14.42877198,64.37067081,12537
2509,862620306,14.42389213,64.36028694,12537
2510,862623106,15.19832133,64.11046752,12278
2511,862623306,15.2123952,64.10686708,12279
2512,862625106,15.73489527,64.2027723,12417
2513,862625306,15.73802922,64.18820027,12284
2514,862628106,18.78776378,63.98786314,12048
2515,862628306,18.77555119,63.98228686,12048
2516,862631106,19.58553843,64.1125974,12322
2517,862631306,19.57811427,64.10161879,12322
2518,862634106,20.1042633,64.22625536,12461
2519,862634306,20.12228622,64.22249242,12461
2520,862640106,14.95259847,64.46385221,12675
2521,862640306,14.9528684,64.45196247,12675
2522,862644106,19.35397016,64.46974548,12719
2523,862644306,19.35242854,64.46136777,12719
2524,862646106,19.89465666,64.54152836,12857
2525,862646306,19.89485082,64.54412119,12857
2526,862648106,20.70579524,64.69903757,12999
2527,862648306,20.7203899,64.68917397,12999
2528,862651106,21.41984888,64.40698868,12740
2529,862651306,21.41800413,64.40098854,12740
2530,862655106,19.69340063,64.99745023,13387
2531,862655306,19.69525062,64.9896047,13387
2532,862657306,21.0024408,64.82032127,13268
2533,862658106,20.251096,65.12643463,13659
2534,862658306,20.26476235,65.11606617,13659
2535,862662106,20.01857129,65.44611767,14056
2536,862662306,20.04432829,65.42990488,14056
2537,862664106,20.89606267,65.59736614,14197
2538,862667106,21.62382993,65.30596708,13939
2539,862667306,21.62330887,65.29441902,13806
2540,862671106,21.16433945,65.7253715,14466
2541,862671306,21.15820367,65.71636139,14466
2542,862680106,23.17332927,65.99363953,14752
2543,862680306,23.15638477,65.99094889,14752
2544,862684306,21.54406406,66.14445426,15002
2545,862686106,22.12618526,66.22304965,15141
2546,862686306,22.12637859,66.21206515,15141
2547,862688106,22.72633398,66.33467421,15280
2548,862688306,22.69615184,66.3265379,15279
2549,862690106,23.57808819,66.43762341,15421
2550,862690306,23.58660809,66.42077951,15421
2551,862691106,23.76072644,66.05939167,14891
2552,862691306,23.73961225,66.05575157,14891
2553,862692106,22.24252878,66.71027497,15807
2554,862692306,22.23387439,66.70186171,15807
2555,862695106,22.84690489,66.81843963,15946
2556,862695306,22.83152594,66.81735567,15946
2557,862697106,23.74662262,66.91789717,16088
2558,862697306,23.71227659,66.91036,16088
2559,862698106,22.05981765,67.08314473,16204
2560,862698306,22.05045088,67.07816814,16204
2561,862699106,22.34953473,67.11941649,16340
2562,862699306,22.35671042,67.11285903,16340
2563,862701106,22.95633882,67.2209282,16479
2564,862701306,22.9660364,67.21078889,16479
2565,862705106,23.10522341,67.71090278,17146
2566,862705306,23.10679294,67.69965792,17013
2567,863503105,12.76182528,59.0522679,5471
2568,863505305,13.10480457,59.13957864,5608
2569,863506105,12.38705526,59.39271313,5866
2570,863506305,12.39399371,59.38471192,5866
2571,863512105,13.43251692,59.4672758,6010
2572,863512305,13.45155121,59.46321851,6010
2573,863513105,14.15841551,59.43137146,6017
2574,863513305,14.14389778,59.41990775,6017
2575,863516105,12.0273778,59.52066088,6129
2576,863516305,12.02243241,59.5079592,6129
2577,863518105,12.72867316,59.50099864,6136
2578,863518305,12.74298011,59.48600171,6003
2579,863520105,13.08465957,59.59764435,6139
2580,863520305,13.07642286,59.58178667,6139
2581,863521305,12.34992334,59.83665107,6531
2582,863527305,13.41379646,59.91461876,6675
2583,863528105,14.11944713,59.88134856,6549
2584,863528305,14.11621795,59.87714228,6549
2585,863530105,12.70304895,59.95019542,6668
2586,863530305,12.69815012,59.94052521,6667
2587,863532105,13.04334296,60.04892291,6804
2588,863532305,13.03977658,60.0272867,6804
2589,863537105,13.3921248,60.36274339,7206
2590,863537305,13.37396729,60.36036737,7206
2591,863538105,14.6477607,60.02534423,6820
2592,863538305,14.66440055,60.01222386,6820
2593,863539105,14.10925227,60.32879958,7214
2594,863539305,14.10676582,60.32568502,7214
2595,863541105,15.38527946,59.97673655,6694
2596,863541305,15.38125644,59.96964552,6694
2597,863548305,16.99165023,60.37134706,7242
2598,863549105,12.63876184,60.39158388,7199
2599,863549305,12.6582945,60.37942525,7199
2600,863551105,13.00331563,60.49916769,7336
2601,863551305,12.98938715,60.480331,7335
2602,863558105,13.33990007,60.80683021,7871
2603,863558305,13.35213325,60.80843564,7871
2604,863559105,14.45803577,60.41704696,7350
2605,863559305,14.45206311,60.41481372,7350
2606,863561105,14.82751212,60.51172082,7487
2607,863562105,14.07204944,60.78035631,7745
2608,863562305,14.0658388,60.76912561,7745
2609,863568105,15.18632608,60.83127846,7889
2610,863568305,15.18087231,60.81976692,7889
2611,863569105,16.27454081,60.42600698,7368
2612,863569305,16.28024303,60.42504535,7368
2613,863571305,16.63284402,60.50731336,7505
2614,863572105,15.90649722,60.78994855,7764
2615,863572305,15.90977435,60.78761884,7764
2616,863576105,17.02445526,60.82651182,7908
2617,863576305,17.00239098,60.81842727,7908
2618,863577105,12.61032699,60.83932884,7864
2619,863577305,12.61468424,60.83469958,7864
2620,863579105,12.97333735,60.93981004,8000
2621,863579305,12.97090157,60.93544454,8000
2622,863581105,13.70539527,60.90392965,8008
2623,863581305,13.70376234,60.90282744,8008
2624,863584105,13.29647266,61.26393244,8402
2625,863584305,13.30314043,61.25095057,8403
2626,863587105,14.8145814,60.96672283,8019
2627,863587305,14.80208642,60.95336378,8019
2628,863588105,14.04441874,61.22448475,8410
2629,863588305,14.0567132,61.22248789,8410
2630,863591105,15.54064419,60.92051613,8026
2631,863591305,15.55502274,60.91797067,8026
2632,863594105,15.17812084,61.28622424,8421
2633,863594305,15.16987467,61.26902483,8421
2634,863597105,16.65270846,60.96211421,8037
2635,863598105,15.91547548,61.23558923,8429
2636,863598305,15.92097545,61.2261877,8429
2637,863602305,17.03017523,61.26371163,8440
2638,863603305,12.93142352,61.37594618,8532
2639,863607105,14.43308256,61.31586131,8547
2640,863607305,14.42063311,61.31750558,8547
2641,863609105,14.78881434,61.4117268,8683
2642,863609305,14.80230073,61.40888327,8684
2643,863611105,15.53636238,61.37802098,8558
2644,863611305,15.54060397,61.37116324,8558
2645,863614105,15.17693263,61.73049206,9086
2646,863614305,15.17270513,61.71906977,9086
